Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Year,Outlet_Size,Outlet_Location_Type,OUTLET TYPE,SALES
FDA13,15.85,Low Fat,7.85%,Canned,$39.95,OUT013,1987,High,Tier 3,Supermarket Type1,$645.16
FDY47,8.6,reg,5.47%,Breads,$128.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,428.14"
NCF31,9.13,Low Fat,5.18%,Household,$150.20,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,821.63"
FDL44,null,Low Fat,1.22%,Fruits and Vegetables,$162.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,500.84"
FDT51,null,Regular,1.91%,Meat,$110.65,OUT019,1985,Small,Tier 1,Grocery Store,$223.71
NCF31,null,Low Fat,9.08%,Household,$153.10,OUT019,1985,Small,Tier 1,Grocery Store,$303.60
NCK31,10.895,Low Fat,2.70%,Others,$50.67,OUT046,1997,Small,Tier 1,Supermarket Type1,$666.47
DRM47,9.3,Low Fat,4.39%,Hard Drinks,$191.08,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,337.59"
FDL40,17.7,Low Fat,1.16%,Frozen Foods,$97.74,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,158.49"
FDT34,9.3,LF,29.18%,Snack Foods,$107.20,OUT010,1998,null,Tier 3,Grocery Store,$420.79
FDP40,4.555,Regular,3.44%,Frozen Foods,$112.75,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,789.67"
NCJ31,19.2,Low Fat,18.37%,Others,$241.82,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,687.14"
FDT50,null,reg,10.77%,Dairy,$97.88,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,109.25"
FDG21,17.35,Regular,14.63%,Seafood,$150.41,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,894.93"
FDM03,12.65,Low Fat,12.35%,Meat,$108.29,OUT018,2009,Medium,Tier 3,Supermarket Type2,$535.97
FDO11,8,Regular,3.03%,Breads,$247.41,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$6,972.26"
FDX26,17.7,Low Fat,8.80%,Dairy,$181.43,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,918.87"
FDF39,14.85,Regular,1.96%,Dairy,$261.59,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,366.92"
NCR53,12.15,Low Fat,24.28%,Health and Hygiene,$226.54,OUT010,1998,null,Tier 3,Grocery Store,$225.04
FDL57,15.1,Regular,6.71%,Snack Foods,$257.93,OUT035,2004,Small,Tier 2,Supermarket Type1,"$6,458.26"
FDO44,12.6,Low Fat,8.76%,Fruits and Vegetables,$110.02,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,205.16"
NCY41,16.75,Low Fat,7.57%,Health and Hygiene,$34.35,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,042.64"
FDL08,10.8,Low Fat,4.97%,Fruits and Vegetables,$246.71,OUT046,1997,Small,Tier 1,Supermarket Type1,"$5,145.30"
NCV30,20.2,Low Fat,6.59%,Household,$64.85,OUT046,1997,Small,Tier 1,Supermarket Type1,$948.77
FDL45,null,Low Fat,3.75%,Snack Foods,$126.27,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,255.79"
FDK09,15.2,Low Fat,9.23%,Snack Foods,$227.24,OUT017,2007,null,Tier 2,Supermarket Type1,"$4,122.63"
FDQ58,7.315,Low Fat,1.53%,Snack Foods,$153.43,OUT049,1999,Medium,Tier 1,Supermarket Type1,$459.40
FDA28,16.1,Regular,4.80%,Frozen Foods,$127.04,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,384.20"
FDA02,null,Regular,5.20%,Dairy,$143.18,OUT019,1985,Small,Tier 1,Grocery Store,$288.96
NCC54,17.75,Low Fat,9.76%,Health and Hygiene,$240.42,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,579.37"
FDA55,17.2,reg,5.72%,Fruits and Vegetables,$225.41,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,460.80"
NCJ43,6.635,Low Fat,4.53%,Household,$173.14,OUT010,1998,null,Tier 3,Grocery Store,$348.88
NCB19,null,Low Fat,15.81%,Household,$86.39,OUT019,1985,Small,Tier 1,Grocery Store,$85.89
FDA19,7.52,Low Fat,5.51%,Fruits and Vegetables,$128.30,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,983.48"
FDD35,12.15,LF,2.58%,Starchy Foods,$119.84,OUT013,1987,High,Tier 3,Supermarket Type1,$599.22
FDK08,9.195,Regular,12.28%,Fruits and Vegetables,$100.10,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,113.22"
FDN27,null,Low Fat,3.94%,Meat,$116.98,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,866.97"
NCC19,null,Low Fat,9.64%,Household,$192.98,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,633.97"
FDL16,12.85,Low Fat,16.87%,Frozen Foods,$47.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,071.94"
NCL54,null,Low Fat,8.24%,Household,$176.91,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,202.53"
FDR33,7.31,Low Fat,2.68%,Snack Foods,$108.06,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,087.28"
FDD52,18.25,Regular,18.33%,Dairy,$108.56,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,208.43"
FDV33,9.6,Regular,2.74%,Snack Foods,$259.23,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,649.95"
FDF21,10.3,Regular,0.00%,Fruits and Vegetables,$191.15,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,707.78"
FDM56,16.7,Low Fat,0.00%,Fruits and Vegetables,$109.19,OUT018,2009,Medium,Tier 3,Supermarket Type2,$545.96
FDB12,11.15,Regular,10.53%,Baking Goods,$103.26,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,388.89"
FDI48,11.85,Regular,0.00%,Baking Goods,$51.27,OUT035,2004,Small,Tier 2,Supermarket Type1,$410.13
FDH09,12.6,Low Fat,5.62%,Seafood,$51.90,OUT049,1999,Medium,Tier 1,Supermarket Type1,$473.38
FDQ36,7.855,Regular,0.00%,Baking Goods,$38.38,OUT046,1997,Small,Tier 1,Supermarket Type1,$932.12
FDY16,18.35,Regular,9.22%,Frozen Foods,$184.83,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,872.96"
NCM43,null,Low Fat,1.94%,Others,$164.32,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,546.11"
FDF59,12.5,LF,7.15%,Starchy Foods,$124.90,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,771.03"
NCR38,17.25,Low Fat,11.35%,Household,$253.47,OUT035,2004,Small,Tier 2,Supermarket Type1,$755.02
FDY13,12.1,Low Fat,3.01%,Canned,$78.07,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,220.44"
FDC40,16,Regular,6.51%,Dairy,$76.20,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,090.58"
FDT11,5.94,Regular,2.95%,Breads,$189.46,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,877.56"
FDT59,13.65,Low Fat,1.60%,Breads,$230.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,994.77"
NCU54,8.88,Low Fat,9.86%,Household,$208.43,OUT046,1997,Small,Tier 1,Supermarket Type1,"$5,452.90"
FDG34,11.5,Regular,6.29%,Snack Foods,$106.73,OUT010,1998,null,Tier 3,Grocery Store,$542.63
FDQ36,7.855,Regular,16.25%,Baking Goods,$39.28,OUT017,2007,null,Tier 2,Supermarket Type1,$857.55
DRZ11,8.85,Regular,11.28%,Soft Drinks,$122.04,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,238.39"
DRH23,null,Low Fat,29.82%,Hard Drinks,$55.76,OUT019,1985,Small,Tier 1,Grocery Store,$110.52
FDT55,13.6,Regular,4.39%,Fruits and Vegetables,$157.09,OUT017,2007,null,Tier 2,Supermarket Type1,"$5,522.81"
NCV53,8.27,Low Fat,1.88%,Health and Hygiene,$241.29,OUT013,1987,High,Tier 3,Supermarket Type1,"$5,512.82"
FDQ33,null,Low Fat,0.00%,Snack Foods,$151.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,815.07"
NCJ54,9.895,Low Fat,6.00%,Household,$230.86,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,414.92"
FDY16,null,reg,16.15%,Frozen Foods,$186.23,OUT019,1985,Small,Tier 1,Grocery Store,"$1,106.56"
NCN07,18.5,Low Fat,3.39%,Others,$129.93,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,054.63"
FDO01,21.1,Regular,2.08%,Breakfast,$129.80,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,284.99"
FDP32,6.65,Low Fat,8.82%,Fruits and Vegetables,$126.87,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,780.35"
NCN07,18.5,Low Fat,3.41%,Others,$130.93,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,977.43"
DRN47,null,Low Fat,1.67%,Hard Drinks,$180.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,056.02"
NCM18,13,LF,8.30%,Household,$61.12,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,352.94"
FDD40,null,Regular,1.47%,Dairy,$193.62,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,195.24"
FDW47,15,Low Fat,4.64%,Breads,$122.84,OUT046,1997,Small,Tier 1,Supermarket Type1,$731.05
FDI45,13.1,Low Fat,3.76%,Fruits and Vegetables,$175.61,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,050.63"
FDJ46,11.1,Low Fat,4.50%,Snack Foods,$174.01,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,101.26"
FDD38,16.75,Regular,1.37%,Canned,$100.27,OUT010,1998,null,Tier 3,Grocery Store,$203.73
FDS37,7.655,Low Fat,3.20%,Canned,$117.25,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,432.83"
FDY60,10.5,Regular,2.64%,Baking Goods,$145.21,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,739.13"
FDP13,8.1,Regular,13.49%,Canned,$41.95,OUT018,2009,Medium,Tier 3,Supermarket Type2,$199.74
FDM28,15.7,Low Fat,4.53%,Frozen Foods,$181.37,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,977.43"
FDY33,14.5,Regular,9.78%,Snack Foods,$159.73,OUT017,2007,null,Tier 2,Supermarket Type1,"$5,728.54"
NCM54,17.7,Low Fat,5.09%,Household,$125.57,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,398.85"
FDK04,7.36,Low Fat,5.23%,Frozen Foods,$58.56,OUT046,1997,Small,Tier 1,Supermarket Type1,$801.62
NCI42,18.75,Low Fat,1.04%,Household,$207.20,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,667.16"
FDF45,18.2,Regular,1.23%,Fruits and Vegetables,$59.99,OUT018,2009,Medium,Tier 3,Supermarket Type2,$644.49
FDN56,5.46,Regular,10.72%,Fruits and Vegetables,$144.88,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,323.01"
FDR56,15.5,Regular,10.13%,Fruits and Vegetables,$196.58,OUT017,2007,null,Tier 2,Supermarket Type1,"$3,350.31"
FDX40,12.85,Low Fat,9.90%,Frozen Foods,$39.32,OUT046,1997,Small,Tier 1,Supermarket Type1,$540.63
FDB34,15.25,Low Fat,2.68%,Snack Foods,$86.02,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,006.06"
FDY47,8.6,Regular,5.46%,Breads,$130.53,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,298.31"
DRB01,7.39,Low Fat,8.22%,Soft Drinks,$190.95,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,466.79"
FDR51,9.035,Regular,17.38%,Meat,$151.47,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,407.53"
FDR48,11.65,LF,13.17%,Baking Goods,$152.30,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,518.02"
FDZ25,15.7,Regular,2.76%,Canned,$171.18,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,867.57"
FDJ04,18,Low Fat,12.47%,Frozen Foods,$120.31,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,725.79"
NCG07,null,Low Fat,5.22%,Household,$190.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,554.07"
FDB52,17.75,Low Fat,3.06%,Dairy,$257.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,835.01"
FDH14,17.1,Regular,4.69%,Canned,$142.08,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,528.71"
NCY17,18.2,Low Fat,16.31%,Health and Hygiene,$43.01,OUT046,1997,Small,Tier 1,Supermarket Type1,$758.35
FDX31,20.35,Regular,0.00%,Fruits and Vegetables,$234.50,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,402.17"
FDN12,15.6,Low Fat,8.11%,Baking Goods,$112.35,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,006.69"
FDG56,13.3,reg,7.17%,Fruits and Vegetables,$59.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,$918.80
FDP23,6.71,Low Fat,3.57%,Breads,$218.32,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$5,660.63"
FDC47,15,Low Fat,11.91%,Snack Foods,$226.97,OUT045,2002,null,Tier 2,Supermarket Type1,"$6,851.08"
FDW25,null,Low Fat,3.72%,Canned,$86.82,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,448.78"
NCR42,9.105,Low Fat,3.86%,Household,$33.89,OUT045,2002,null,Tier 2,Supermarket Type1,$99.87
DRO59,11.8,Low Fat,5.42%,Hard Drinks,$75.40,OUT049,1999,Medium,Tier 1,Supermarket Type1,$986.72
FDT60,12,Low Fat,7.59%,Baking Goods,$124.54,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,733.74"
FDE32,20.7,Low Fat,4.90%,Fruits and Vegetables,$37.85,OUT018,2009,Medium,Tier 3,Supermarket Type2,$265.65
FDF21,10.3,Regular,5.92%,Fruits and Vegetables,$191.55,OUT017,2007,null,Tier 2,Supermarket Type1,"$6,641.36"
FDX04,19.6,Regular,4.15%,Frozen Foods,$46.04,OUT013,1987,High,Tier 3,Supermarket Type1,$527.31
FDC22,6.89,Regular,0.00%,Snack Foods,$193.48,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,510.07"
FDD39,16.7,Low Fat,7.03%,Dairy,$216.39,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,678.55"
DRC36,13,Regular,4.50%,Soft Drinks,$175.01,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,926.16"
DRE01,10.1,Low Fat,16.72%,Soft Drinks,$241.75,OUT046,1997,Small,Tier 1,Supermarket Type1,"$5,331.73"
FDP37,15.6,Low Fat,14.30%,Breakfast,$130.40,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,826.99"
DRI01,7.97,Low Fat,0.00%,Soft Drinks,$173.74,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,759.08"
NCE19,null,Low Fat,16.29%,Household,$54.60,OUT019,1985,Small,Tier 1,Grocery Store,$218.38
NCS30,5.945,Low Fat,0.00%,Household,$128.97,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,808.31"
FDX31,20.35,Regular,1.49%,Fruits and Vegetables,$234.50,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,271.74"
FDH47,13.5,Regular,12.88%,Starchy Foods,$96.41,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,527.38"
FDY11,6.71,reg,2.97%,Baking Goods,$65.01,OUT018,2009,Medium,Tier 3,Supermarket Type2,$856.88
FDU23,12.15,Low Fat,3.64%,Breads,$166.02,OUT010,1998,null,Tier 3,Grocery Store,$330.24
FDO19,17.7,Regular,1.66%,Fruits and Vegetables,$50.50,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,458.10"
FDP08,20.5,Regular,11.23%,Fruits and Vegetables,$193.95,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,456.20"
FDX19,19.1,Low Fat,9.67%,Fruits and Vegetables,$235.20,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,673.92"
FDJ28,12.3,Low Fat,2.20%,Frozen Foods,$191.22,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,924.16"
FDE29,8.905,Low Fat,14.34%,Frozen Foods,$62.09,OUT049,1999,Medium,Tier 1,Supermarket Type1,$302.94
FDC14,14.5,Regular,4.15%,Canned,$40.05,OUT017,2007,null,Tier 2,Supermarket Type1,$209.73
FDV44,8.365,Regular,4.01%,Fruits and Vegetables,$190.72,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,904.19"
NCF43,8.51,Low Fat,5.22%,Household,$141.95,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,004.06"
NCY42,6.38,Low Fat,1.51%,Household,$144.05,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,149.23"
NCZ06,null,Low Fat,9.37%,Household,$253.87,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,297.71"
FDB29,16.7,Regular,5.24%,Frozen Foods,$115.12,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,488.73"
FDL28,10,Regular,6.31%,Frozen Foods,$231.77,OUT013,1987,High,Tier 3,Supermarket Type1,$460.73
FDF57,14.5,Regular,5.89%,Fruits and Vegetables,$168.64,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,897.56"
FDE44,14.65,Low Fat,17.12%,Fruits and Vegetables,$50.37,OUT013,1987,High,Tier 3,Supermarket Type1,$591.23
FDU33,null,Regular,13.41%,Snack Foods,$45.34,OUT027,1985,Medium,Tier 3,Supermarket Type3,$918.80
FDA08,11.85,Regular,5.04%,Fruits and Vegetables,$163.85,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,808.98"
NCC06,19,Low Fat,2.70%,Household,$127.13,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,812.34"
FDO32,6.36,Low Fat,12.05%,Fruits and Vegetables,$45.81,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,165.15"
FDU39,18.85,LF,3.60%,Meat,$58.46,OUT046,1997,Small,Tier 1,Supermarket Type1,$711.07
NCK18,9.6,Low Fat,0.67%,Household,$165.92,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,972.13"
FDI26,5.94,Low Fat,3.49%,Canned,$177.33,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,605.91"
DRE37,13.5,Low Fat,9.42%,Soft Drinks,$189.99,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,323.61"
NCN26,10.85,LF,4.80%,Household,$117.58,OUT010,1998,null,Tier 3,Grocery Store,$351.54
FDS16,15.15,Regular,6.62%,Frozen Foods,$147.38,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,197.14"
FDE40,15.6,Regular,0.00%,Dairy,$62.42,OUT018,2009,Medium,Tier 3,Supermarket Type2,$804.95
FDP03,5.15,Regular,0.00%,Meat,$122.94,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,105.26"
FDA27,20.35,Regular,3.10%,Dairy,$253.97,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,068.01"
FDJ12,8.895,Regular,3.91%,Baking Goods,$208.83,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$5,400.97"
FDT03,21.25,Low Fat,1.00%,Meat,$181.76,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,102.56"
FDF50,4.905,Low Fat,11.73%,Canned,$195.78,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,956.15"
FDC51,10.895,Regular,0.96%,Dairy,$124.17,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,601.25"
NCL55,null,Low Fat,11.32%,Others,$254.60,OUT019,1985,Small,Tier 1,Grocery Store,$759.01
FDZ23,17.75,Regular,6.75%,Baking Goods,$185.22,OUT035,2004,Small,Tier 2,Supermarket Type1,"$6,338.42"
FDW24,6.8,Low Fat,3.76%,Baking Goods,$50.20,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,166.48"
FDH21,10.395,Low Fat,3.12%,Seafood,$156.96,OUT035,2004,Small,Tier 2,Supermarket Type1,"$4,595.35"
NCQ41,14.8,Low Fat,3.26%,Health and Hygiene,$193.58,OUT010,1998,null,Tier 3,Grocery Store,$390.16
FDH48,13.5,Low Fat,0.00%,Baking Goods,$84.55,OUT018,2009,Medium,Tier 3,Supermarket Type2,$778.99
FDX11,16,Regular,10.67%,Baking Goods,$183.66,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,544.69"
FDK33,17.85,Low Fat,1.12%,Snack Foods,$211.96,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,474.18"
FDV36,18.7,Low Fat,2.64%,Baking Goods,$127.10,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,289.05"
NCW41,18,Low Fat,1.55%,Health and Hygiene,$159.36,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,059.99"
FDU32,null,Low Fat,4.55%,Fruits and Vegetables,$120.84,OUT019,1985,Small,Tier 1,Grocery Store,$852.89
FDE36,5.26,Regular,4.19%,Baking Goods,$162.79,OUT045,2002,null,Tier 2,Supermarket Type1,"$4,258.46"
FDO27,6.175,Regular,0.00%,Meat,$94.98,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,534.00"
FDW27,5.86,Regular,15.12%,Meat,$156.63,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,257.76"
FDJ48,null,Low Fat,5.62%,Baking Goods,$246.91,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,681.27"
FDR11,10.5,Regular,14.24%,Breads,$161.16,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,765.04"
FDV07,9.5,Low Fat,3.14%,Fruits and Vegetables,$110.32,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,763.07"
FDO50,null,Low Fat,7.78%,Canned,$93.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,940.17"
FDN04,11.8,Regular,1.42%,Frozen Foods,$178.23,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,854.95"
FDZ08,12.5,Regular,11.02%,Fruits and Vegetables,$81.86,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,238.39"
FDD05,19.35,Low Fat,1.67%,Frozen Foods,$119.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,928.16"
FDV60,20.2,Regular,11.73%,Baking Goods,$195.01,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,749.75"
NCG30,20.2,Low Fat,11.22%,Household,$123.50,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,739.10"
FDX37,null,Low Fat,6.27%,Canned,$100.57,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$5,093.37"
FDW24,6.8,Low Fat,3.76%,Baking Goods,$49.60,OUT049,1999,Medium,Tier 1,Supermarket Type1,$972.07
DRM48,null,Low Fat,11.23%,Soft Drinks,$39.18,OUT027,1985,Medium,Tier 3,Supermarket Type3,$559.27
FDF46,null,Low Fat,9.32%,Snack Foods,$116.78,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,952.89"
NCY54,8.43,Low Fat,17.77%,Household,$170.54,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,621.29"
FDS35,9.3,Low Fat,11.18%,Breads,$64.68,OUT017,2007,null,Tier 2,Supermarket Type1,$774.99
FDB04,11.35,Regular,6.32%,Dairy,$88.39,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,318.28"
NCK05,20.1,LF,7.79%,Health and Hygiene,$59.35,OUT017,2007,null,Tier 2,Supermarket Type1,$918.80
FDT46,11.35,Low Fat,5.16%,Snack Foods,$49.00,OUT010,1998,null,Tier 3,Grocery Store,$101.20
FDP52,null,Regular,7.03%,Frozen Foods,$228.60,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$7,350.43"
NCR17,9.8,Low Fat,2.45%,Health and Hygiene,$117.55,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,390.19"
NCN54,20.35,Low Fat,2.14%,Household,$76.33,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,312.96"
FDX12,18.2,Regular,2.61%,Baking Goods,$241.22,OUT035,2004,Small,Tier 2,Supermarket Type1,"$6,507.53"
DRL23,18.35,Low Fat,1.53%,Hard Drinks,$105.29,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,036.68"
DRN47,12.1,Low Fat,0.00%,Hard Drinks,$179.87,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,595.32"
FDM25,10.695,Regular,6.06%,Breakfast,$174.07,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,460.80"
FDF52,null,Low Fat,6.65%,Frozen Foods,$184.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$4,560.73"
FDU21,11.8,Regular,7.69%,Snack Foods,$33.16,OUT045,2002,null,Tier 2,Supermarket Type1,$543.29
FDI15,13.8,Low Fat,14.22%,Dairy,$263.59,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,384.90"
FDJ09,15,Low Fat,5.86%,Snack Foods,$46.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,$543.29
FDW03,5.63,Regular,2.45%,Meat,$105.13,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,135.92"
FDA07,7.55,Regular,3.10%,Fruits and Vegetables,$124.31,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,695.16"
FDU39,18.85,Low Fat,3.62%,Meat,$57.36,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,007.36"
FDI60,7.22,Regular,3.84%,Baking Goods,$61.95,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,518.02"
FDK33,17.85,Low Fat,1.13%,Snack Foods,$211.66,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,556.67"
FDN01,8.895,Low Fat,7.25%,Breakfast,$177.44,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,528.74"
FDV38,19.25,Low Fat,10.17%,Dairy,$54.70,OUT013,1987,High,Tier 3,Supermarket Type1,$163.79
NCV06,11.3,Low Fat,6.66%,Household,$194.25,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,712.47"
FDQ34,10.85,Low Fat,16.22%,Snack Foods,$107.86,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,058.62"
DRK37,5,Low Fat,0.00%,Soft Drinks,$189.85,OUT045,2002,null,Tier 2,Supermarket Type1,"$4,933.58"
NCY53,20,Low Fat,0.00%,Health and Hygiene,$110.25,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,454.11"
FDD53,null,Low Fat,4.40%,Frozen Foods,$43.75,OUT027,1985,Medium,Tier 3,Supermarket Type3,$671.13
FDV49,10,Low Fat,2.59%,Canned,$264.62,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$4,757.81"
FDY36,null,Low Fat,1.65%,Baking Goods,$74.34,OUT019,1985,Small,Tier 1,Grocery Store,$146.48
FDH34,8.63,Low Fat,3.11%,Snack Foods,$185.76,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,529.41"
NCD07,9.1,LF,0.00%,Household,$115.45,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,390.89"
FDB51,6.92,Low Fat,3.84%,Dairy,$62.59,OUT013,1987,High,Tier 3,Supermarket Type1,$438.10
NCH42,6.86,Low Fat,6.12%,Household,$228.40,OUT010,1998,null,Tier 3,Grocery Store,$229.70
